seq_len,fold,epoch,mse,mae,rmse
24,1,1,3362.731201171875,42.60599136352539,57.98906104751029
24,1,2,2238.382080078125,34.01091384887695,47.31154277846078
24,1,3,1567.3045654296875,28.37823486328125,39.589197585069684
24,1,4,1376.02294921875,27.213754653930664,37.09478331543062
24,1,5,1271.9970703125,26.69957160949707,35.66506792805111
24,1,6,1240.3995361328125,27.194448471069336,35.21930629829061
24,1,7,1198.96484375,27.139463424682617,34.626071734316035
24,1,8,1062.1597900390625,25.53929328918457,32.59079302562401
24,1,9,1115.78125,26.388545989990234,33.40331196154058
24,1,10,1026.9102783203125,25.06982421875,32.04544083516893
24,1,11,1011.4024658203125,24.54612922668457,31.80255439143706
24,1,12,1048.268798828125,25.681474685668945,32.3769794580675
24,1,13,950.0204467773438,23.59039306640625,30.82240170358799
24,1,14,953.8916015625,24.243501663208008,30.88513560861438
24,1,15,940.4971313476562,24.411178588867188,30.667525680231464
24,1,16,1022.1605834960938,25.619455337524414,31.97124619867192
24,1,17,1048.0567626953125,26.061691284179688,32.37370480336337
24,1,18,927.941650390625,24.12798500061035,30.46213469851752
24,1,19,954.5748901367188,24.877561569213867,30.896195399057127
24,1,20,890.8494262695312,23.580564498901367,29.84710080174507
24,1,21,885.0440063476562,23.084280014038086,29.749689180689877
24,1,22,795.40966796875,21.662662506103516,28.203008136876996
24,1,23,933.1890869140625,23.49720573425293,30.54814375562061
24,1,24,968.740478515625,24.08222770690918,31.124596037790194
24,1,25,805.8357543945312,22.072067260742188,28.38724633342465
24,1,26,1029.4783935546875,25.097698211669922,32.08548571480082
24,1,27,960.7467651367188,24.315092086791992,30.995915297611695
24,1,28,755.3185424804688,20.367891311645508,27.483059190717267
24,1,29,900.094482421875,23.25467300415039,30.00157466570505
24,1,30,912.449462890625,23.304651260375977,30.20677842621793
24,1,31,838.9092407226562,22.10727310180664,28.963929994437155
24,1,32,967.19775390625,24.17993927001953,31.099803116840626
24,1,33,884.9129028320312,23.053241729736328,29.747485655631994
24,1,34,869.023193359375,22.054418563842773,29.47919933375693
24,1,35,825.9752197265625,21.82068634033203,28.739784615173484
24,1,36,913.7079467773438,23.16805648803711,30.227602398757064
24,1,37,809.2691040039062,20.72396469116211,28.447655509793883
24,1,38,909.5931396484375,22.555200576782227,30.15946185939725
24,1,39,903.0377197265625,22.849260330200195,30.050586013030802
24,1,40,879.6476440429688,21.020715713500977,29.658854395322972
24,1,41,898.7169799804688,22.27156639099121,29.978608706550556
24,1,42,918.451416015625,22.1445255279541,30.305963373825044
24,1,43,944.5844116210938,22.366939544677734,30.734092009055576
24,1,44,970.9959716796875,23.271236419677734,31.160808264223306
24,1,45,922.3740844726562,21.925844192504883,30.370612184686962
24,1,46,957.703125,23.034229278564453,30.94677891154425
24,1,47,922.8406372070312,22.33104133605957,30.378292203595503
24,1,48,892.9995727539062,21.847681045532227,29.88309844634432
24,1,49,966.0956420898438,23.197162628173828,31.082079114657756
24,1,50,940.64208984375,22.565763473510742,30.669888976710528
24,1,51,947.9054565429688,23.16248893737793,30.78807328403271
24,1,52,1002.1547241210938,23.51532554626465,31.656827448768357
24,1,53,956.0770263671875,23.42548370361328,30.920495247767096
24,1,54,978.8294067382812,23.223512649536133,31.286249483411737
24,1,55,941.3738403320312,22.656082153320312,30.681816118542123
24,1,56,997.2041015625,23.72481346130371,31.578538622971458
24,1,57,973.0901489257812,23.20797348022461,31.19439290843438
24,1,58,996.5968017578125,23.666276931762695,31.568921453825634
24,1,59,1035.6417236328125,24.30010414123535,32.18138784503882
24,1,60,954.3059692382812,22.89560890197754,30.891843085809583
24,1,61,1098.949951171875,25.553531646728516,33.15041404223898
24,1,62,1111.7186279296875,25.662494659423828,33.342444840318585
24,1,63,1006.8046264648438,23.5854549407959,31.73018478459972
24,1,64,1126.2740478515625,26.001953125,33.56000667240045
24,1,65,978.6463012695312,23.52132797241211,31.28332305349819
24,1,66,1007.44287109375,23.594945907592773,31.74024056452235
24,1,67,1009.1384887695312,23.86072540283203,31.76694018582103
24,1,68,962.0306396484375,22.837064743041992,31.01661876556562
24,1,69,1002.615478515625,23.989059448242188,31.66410394303974
24,1,70,988.673583984375,23.09264373779297,31.443180246030696
24,1,71,1022.5929565429688,24.306612014770508,31.97800738856267
24,1,72,1054.381591796875,24.78216552734375,32.471242535463205
24,1,73,1075.55322265625,25.194549560546875,32.79562810278605
24,1,74,1042.0833740234375,24.037466049194336,32.281316175513005
24,1,75,1029.0482177734375,24.382055282592773,32.078781425943184
24,1,76,1013.9960327148438,23.28675079345703,31.84330436237489
24,1,77,948.14501953125,22.912065505981445,30.791963554331023
24,1,78,1010.40185546875,24.015296936035156,31.786818895082124
24,1,79,1054.4718017578125,24.64759635925293,32.47263158042188
24,1,80,1038.3956298828125,23.404682159423828,32.22414668975445
24,1,81,1098.21875,25.025070190429688,33.13938366958565
24,1,82,1139.252685546875,25.845579147338867,33.75281744605737
24,1,83,1057.1900634765625,24.50469207763672,32.51445929854228
24,1,84,1114.2802734375,25.177871704101562,33.380836919368875
24,1,85,1082.3375244140625,25.285493850708008,32.8988985288879
24,1,86,1053.0435791015625,23.949813842773438,32.4506329537894
24,1,87,1068.997802734375,24.400009155273438,32.69553184663579
24,1,88,1068.404296875,24.65611457824707,32.68645433317906
24,1,89,1069.33837890625,24.791627883911133,32.70073973026069
24,1,90,1101.4122314453125,25.34638214111328,33.18753126469808
24,1,91,1172.8287353515625,26.45395278930664,34.24658720736363
24,1,92,1049.3687744140625,24.305282592773438,32.3939620055044
24,1,93,1055.9779052734375,24.08617401123047,32.49581365766116
24,1,94,1062.1873779296875,24.58831787109375,32.59121626956698
24,1,95,1004.8649291992188,23.204940795898438,31.699604559035414
24,1,96,1063.349365234375,24.950218200683594,32.609038091215986
24,1,97,1060.554443359375,24.124475479125977,32.5661548752593
24,1,98,1039.6103515625,23.256027221679688,32.24298918466618
24,1,99,1134.1683349609375,25.68853187561035,33.67741579992351
24,1,100,1086.9078369140625,24.952392578125,32.96828531959256
24,1,101,1089.8857421875,24.733156204223633,33.0134176084134
24,1,102,1107.5487060546875,25.306562423706055,33.27985435747409
24,1,103,1080.7342529296875,24.80609893798828,32.87452285478357
24,1,104,1039.089111328125,23.78014373779297,32.2349051701432
24,1,105,1052.1961669921875,24.064912796020508,32.437573383226244
24,1,106,1068.3831787109375,24.50939178466797,32.68613129005844
24,1,107,1002.5844116210938,23.426122665405273,31.66361336962498
24,1,108,1087.529052734375,25.014177322387695,32.97770538916216
24,1,109,1062.763427734375,24.471548080444336,32.600052572570725
24,1,110,1120.0001220703125,24.812742233276367,33.46640288513709
24,1,111,1101.5103759765625,25.274751663208008,33.189009867372704
24,1,112,1097.6578369140625,25.23310089111328,33.13091965089503
24,1,113,1043.173583984375,24.097064971923828,32.29819784421996
24,1,114,1087.0406494140625,24.824413299560547,32.97029950446405
24,1,115,1094.482421875,24.718891143798828,33.08296271307937
24,1,116,1030.8514404296875,23.306800842285156,32.106875282868735
24,1,117,1031.2850341796875,23.272403717041016,32.11362692346798
24,1,118,1102.06103515625,24.599746704101562,33.197304636916684
24,1,119,1091.858154296875,24.193286895751953,33.04327699089294
24,1,120,1142.15478515625,25.73230743408203,33.79578058214146
24,1,121,1108.6201171875,25.039203643798828,33.295947458925085
24,1,122,1128.856201171875,24.80150604248047,33.598455339075855
24,1,123,1076.3272705078125,24.08555793762207,32.80742706320952
24,1,124,1064.9150390625,24.03515625,32.63303600743424
24,1,125,1080.412841796875,23.51214027404785,32.86963403807342
24,1,126,1057.5240478515625,23.86053466796875,32.51959482914205
24,1,127,1077.6995849609375,24.335037231445312,32.82833509273563
24,1,128,1127.1864013671875,24.788217544555664,33.573596789250736
24,1,129,1092.56982421875,24.797094345092773,33.05404399190438
24,1,130,1108.43798828125,24.920259475708008,33.29321234548042
24,1,131,1052.7330322265625,23.800830841064453,32.445847688518825
24,1,132,1072.495361328125,24.221216201782227,32.74897496606764
24,1,133,1070.5992431640625,24.24237632751465,32.72001288453387
24,1,134,1107.5867919921875,23.893630981445312,33.28042655964895
24,1,135,1092.745361328125,24.614788055419922,33.056699189848416
24,1,136,1113.7767333984375,24.767953872680664,33.373293715161495
24,1,137,1146.6611328125,24.888839721679688,33.86238522036656
24,1,138,1146.806640625,25.525646209716797,33.86453366909103
24,1,139,1188.27978515625,26.163389205932617,34.47143433563869
24,1,140,1128.2613525390625,25.00110626220703,33.589601851451924
24,1,141,1132.9132080078125,25.03396987915039,33.65877609194685
24,1,142,1110.0443115234375,24.32431411743164,33.31732749671614
24,1,143,1108.5902099609375,24.34019660949707,33.29549834378422
24,1,144,1114.16455078125,24.319477081298828,33.379103504756536
24,1,145,1118.4869384765625,23.856021881103516,33.44378774117194
24,1,146,1162.1468505859375,24.680007934570312,34.09027501481819
24,1,147,1132.072509765625,24.351318359375,33.646285229808434
24,1,148,1121.7823486328125,24.470096588134766,33.4930194015531
24,1,149,1140.5465087890625,24.90433692932129,33.77197815925301
24,1,150,1147.658203125,25.143829345703125,33.87710440880389
24,2,1,3410.5771484375,44.67288589477539,58.40014681862966
24,2,2,2314.358154296875,37.462955474853516,48.107776443074926
24,2,3,1762.119140625,33.21769714355469,41.97760284514827
24,2,4,1429.397705078125,30.5775203704834,37.80737633158542
24,2,5,1283.7872314453125,29.064226150512695,35.82997671566802
24,2,6,1116.5589599609375,26.719728469848633,33.414951144075275
24,2,7,1005.9064331054688,25.021900177001953,31.716028015901813
24,2,8,1007.7131958007812,24.84056282043457,31.744498669860597
24,2,9,992.0820922851562,24.535400390625,31.497334685416735
24,2,10,961.4570922851562,23.942182540893555,31.00737157975755
24,2,11,986.8267211914062,24.228944778442383,31.413798261136876
24,2,12,976.7193603515625,24.091211318969727,31.25250966485032
24,2,13,1027.798828125,24.8797607421875,32.059301741070406
24,2,14,1036.2774658203125,24.935619354248047,32.191263812101454
24,2,15,1042.611572265625,24.86864471435547,32.28949631483317
24,2,16,994.08203125,24.291276931762695,31.529066450657876
24,2,17,1152.53466796875,26.534360885620117,33.94900098631402
24,2,18,1110.9212646484375,25.969837188720703,33.330485514742165
